"cohort","complete60_icu_flag","n","n_current_mixed_shock","rate_current_mixed_shock","n_support_escalation","rate_support_escalation","n_hd_broad","rate_hd_broad","n_hd_lac_confirmed","rate_hd_lac_confirmed","n_death","rate_death"
"01_overall_ahf12","0","3293","32","0.97","51","1.55","135","4.1","109","3.31","108","3.28"
"01_overall_ahf12","1","3008","201","6.68","396","13.16","401","13.33","67","2.23","7","0.23"
"02_early_sepsis12_main","0","1023","16","1.56","20","1.96","59","5.77","52","5.08","52","5.08"
"02_early_sepsis12_main","1","1401","117","8.35","220","15.7","223","15.92","46","3.28","5","0.36"
"03_no_early_sepsis12_main","0","2270","16","0.7","31","1.37","76","3.35","57","2.51","56","2.47"
"03_no_early_sepsis12_main","1","1607","84","5.23","176","10.95","178","11.08","21","1.31","2","0.12"
